tamanho,banheiros,quartos,preco
0.704,0.6,0.8333,0.381582
0.932,0.2,0.5,0.48352
0.128,0.8,0.3333,0.085594
0.592,0.8,0.8333,0.360279
0.896,0.2,0.8333,0.471148
0.88,0.2,1.0,0.488908
0.988,0.8,0.3333,0.513377
0.86,0.4,0.6667,0.461379
0.464,0.2,0.5,0.265788
0.964,1.0,0.1667,0.527225
0.212,0.6,0.5,0.137198
0.712,0.4,0.5,0.387008
0.712,0.6,0.8333,0.391551
0.428,0.4,0.5,0.260135
0.728,1.0,0.8333,0.414003
0.864,0.4,1.0,0.494252
0.3,1.0,0.6667,0.214956
0.316,0.6,0.8333,0.209752
0.26,0.2,0.3333,0.131393
0.276,0.6,0.6667,0.204939
0.364,0.4,0.5,0.201514
0.924,0.8,0.3333,0.502561
0.144,1.0,1.0,0.157539
0.424,0.2,0.6667,0.238539
0.72,0.4,0.5,0.401977
0.712,0.8,0.5,0.416942
0.736,0.2,0.1667,0.361932
0.344,0.2,0.8333,0.229631
0.392,0.6,1.0,0.268137
0.128,0.8,0.5,0.107663
0.372,0.2,0.8333,0.237393
0.78,0.2,0.8333,0.418824
0.204,0.2,0.3333,0.114549
0.464,0.2,0.3333,0.259842
0.532,0.4,0.3333,0.295546
0.156,1.0,0.8333,0.130296
0.82,0.8,0.6667,0.439379
0.54,0.4,0.5,0.319478
0.12,1.0,0.6667,0.125769
0.716,0.4,0.5,0.374024
0.968,0.6,0.3333,0.492604
0.52,0.6,0.8333,0.300764
0.78,0.4,1.0,0.44398
0.208,0.2,0.6667,0.128315
0.916,1.0,0.6667,0.509266
0.808,0.8,0.8333,0.463866
0.244,1.0,1.0,0.198049
0.944,0.2,0.5,0.481426
0.38,0.8,0.8333,0.247365
0.92,0.6,0.8333,0.49767
0.692,0.4,0.5,0.391887
0.348,1.0,0.6667,0.229989
0.724,0.6,0.5,0.400093
0.232,0.4,0.5,0.126689
0.66,1.0,0.3333,0.393703
0.364,1.0,0.3333,0.199081
0.6,0.4,0.1667,0.29731
