tamanho,banheiros,quartos,preco
0.724,0.4,0.1667,0.382128
0.244,0.4,0.3333,0.162685
0.372,0.8,0.5,0.22256
0.492,0.4,0.8333,0.269937
0.884,0.6,1.0,0.494719
0.848,0.4,0.1667,0.4645
0.308,1.0,1.0,0.221485
0.768,0.2,0.3333,0.398772
0.236,1.0,0.8333,0.175222
0.576,0.6,0.1667,0.318526
0.84,0.2,0.6667,0.464421
0.756,0.8,0.3333,0.434625
0.82,0.2,0.8333,0.472347
0.704,0.6,1.0,0.431769
0.632,0.4,0.3333,0.336977
0.136,1.0,0.8333,0.133996
0.652,0.8,0.1667,0.345307
0.644,0.4,1.0,0.396776
0.812,0.4,0.3333,0.43039
0.172,0.6,0.8333,0.135752
0.168,0.8,0.8333,0.155883
0.964,0.2,0.5,0.505916
0.536,0.4,1.0,0.338911
0.236,0.4,0.5,0.164957
0.22,0.6,1.0,0.145478
0.592,0.8,0.8333,0.330855
0.32,0.8,0.5,0.198234
0.184,0.8,0.5,0.119367
0.224,0.2,0.8333,0.1493
0.244,0.2,0.6667,0.177568
0.76,0.2,0.6667,0.395302
0.236,0.4,1.0,0.184018
0.248,0.6,0.8333,0.185899
0.424,0.8,0.3333,0.232873
0.784,0.8,0.5,0.437611
0.932,0.8,0.5,0.520354
0.532,0.4,0.5,0.317601
0.7,0.2,0.3333,0.361595
0.52,1.0,0.6667,0.295413
0.676,0.2,0.6667,0.379589
0.94,0.4,0.6667,0.528908
0.84,1.0,0.5,0.456483
0.992,1.0,1.0,0.555122
0.56,0.8,0.5,0.340424
0.724,1.0,1.0,0.407477
0.276,0.2,0.6667,0.177641
0.552,0.6,0.3333,0.285318
0.5,0.8,0.1667,0.257232
0.416,1.0,1.0,0.293085
0.988,1.0,0.1667,0.507968
0.528,1.0,0.1667,0.320356
0.556,0.4,0.1667,0.272284
0.192,0.6,0.6667,0.14865
0.68,0.2,0.3333,0.356914
0.176,0.8,0.3333,0.123772
0.824,0.8,1.0,0.469313
0.508,0.2,0.1667,0.264078
0.728,0.6,0.6667,0.405025
0.688,0.8,1.0,0.420741
0.98,0.4,1.0,0.529903
0.248,0.6,0.8333,0.163012
0.576,0.2,0.3333,0.331122
0.796,1.0,1.0,0.455882
0.696,0.8,0.1667,0.369716
0.876,0.6,0.3333,0.472607
0.5,0.6,0.3333,0.293022
0.432,0.4,0.1667,0.253796
0.228,1.0,0.5,0.16406
0.58,0.4,0.1667,0.328207
0.84,0.8,0.5,0.471401
0.528,0.6,0.6667,0.31403
0.448,0.4,0.3333,0.234636
0.208,0.2,0.5,0.110076
0.5,0.4,1.0,0.290983
0.336,0.4,0.5,0.194469
0.9,0.4,0.6667,0.497601
0.4,0.4,0.6667,0.252692
0.564,1.0,0.5,0.306777
0.996,0.4,1.0,0.574533
0.768,0.6,0.8333,0.432912
0.616,0.8,1.0,0.392787
0.404,0.4,0.6667,0.233015
0.64,0.4,1.0,0.370424
0.8,0.4,0.1667,0.409388
0.784,0.2,0.8333,0.425387
0.704,0.4,0.5,0.409297
0.544,0.8,1.0,0.347011
0.788,0.4,0.6667,0.423679
0.696,0.6,0.8333,0.396856
0.272,0.8,0.3333,0.153464
0.564,0.8,0.6667,0.339634
0.94,0.2,0.3333,0.487947
0.964,0.8,0.6667,0.52633
0.22,0.8,1.0,0.164372
0.704,1.0,0.8333,0.395392
0.228,1.0,0.6667,0.191307
0.176,0.4,0.3333,0.12238
0.644,0.6,0.1667,0.336084
0.372,0.2,0.1667,0.217925
0.38,1.0,1.0,0.248723
0.624,0.2,0.5,0.327466
0.236,0.6,0.1667,0.137817
0.192,1.0,0.6667,0.155233
0.932,0.6,0.1667,0.494934
0.768,0.4,0.5,0.432483
0.284,0.2,0.8333,0.188969
0.948,0.6,0.3333,0.485818
0.88,0.8,0.3333,0.496269
0.352,0.8,0.8333,0.210153
0.58,0.4,0.5,0.298994
0.916,0.6,0.6667,0.488039
0.248,0.8,0.3333,0.182167
0.896,0.8,0.3333,0.49965
0.192,0.8,0.8333,0.14748
0.992,1.0,0.1667,0.503756
0.568,0.8,0.6667,0.326489
0.64,0.8,0.5,0.340346
0.172,1.0,0.5,0.128848
0.472,0.6,0.5,0.262566
0.36,0.8,0.3333,0.202145
0.584,0.6,0.8333,0.349967
0.544,0.4,0.5,0.324966
0.348,0.4,0.8333,0.241153
0.692,0.2,0.5,0.392089
0.884,0.4,0.8333,0.507872
0.364,0.8,0.1667,0.214284
0.788,1.0,0.1667,0.445627
0.304,0.4,0.3333,0.163872
0.328,1.0,0.5,0.191845
0.324,0.6,0.5,0.208975
0.972,0.8,1.0,0.537617
0.236,0.8,0.8333,0.175423
0.356,0.6,0.1667,0.22408
0.38,0.8,0.5,0.236907
0.852,0.2,0.1667,0.454446
0.68,0.2,0.6667,0.358471
0.284,1.0,0.8333,0.220982
0.716,0.2,0.6667,0.374463
0.268,0.6,0.1667,0.157034
0.608,1.0,0.5,0.3476
0.644,0.6,0.1667,0.366241
0.332,0.4,0.3333,0.19554
0.764,0.6,0.3333,0.415175
0.268,0.6,0.3333,0.16964
0.668,0.2,0.5,0.384846
0.588,0.2,1.0,0.324752
0.98,0.6,0.8333,0.532224
0.4,0.8,0.3333,0.248899
0.444,0.2,1.0,0.284262
0.432,1.0,0.8333,0.288517
0.452,0.4,0.5,0.244774
0.832,0.6,0.6667,0.447553
0.412,1.0,0.1667,0.26308
0.2,0.6,1.0,0.142474
0.936,0.6,1.0,0.53891
0.148,1.0,1.0,0.167131
0.74,1.0,1.0,0.418359
0.26,0.6,0.8333,0.182486
0.124,1.0,0.6667,0.121723
0.12,0.4,0.5,0.077398
0.456,0.6,0.3333,0.256134
0.392,0.6,0.5,0.245561
0.224,0.2,0.1667,0.116242
0.408,0.6,0.3333,0.252976
0.264,0.8,0.6667,0.173619
0.168,0.2,0.8333,0.128149
0.448,1.0,0.3333,0.243833
0.564,0.2,0.6667,0.336303
0.808,1.0,0.6667,0.445863
0.456,1.0,0.6667,0.307891
0.216,0.2,0.1667,0.126356
0.864,0.4,1.0,0.488609
0.46,0.4,1.0,0.261332
0.856,0.2,0.6667,0.468141
0.736,1.0,1.0,0.422391
0.196,1.0,1.0,0.170257
0.876,0.8,1.0,0.522473
0.716,1.0,0.5,0.4045
0.604,0.6,0.6667,0.363909
0.868,0.8,0.6667,0.484357
0.4,0.4,0.8333,0.240064
0.572,0.2,0.6667,0.325088
0.56,0.8,0.1667,0.316412
0.176,0.2,0.6667,0.138339
0.76,0.6,0.3333,0.394297
0.956,0.8,0.8333,0.528138
0.172,0.2,0.6667,0.104396
0.768,0.6,0.5,0.424005
0.752,0.2,0.6667,0.406747
0.512,0.4,0.1667,0.250753
0.16,1.0,1.0,0.142656
0.668,0.2,0.8333,0.388238
0.776,0.2,1.0,0.440492
0.42,0.8,0.1667,0.22836
0.24,1.0,0.6667,0.173835
0.908,0.6,0.6667,0.500725
0.84,0.2,1.0,0.463307
0.332,0.6,1.0,0.249131
0.36,1.0,0.6667,0.25633
0.164,0.6,0.1667,0.112575
0.664,0.2,0.5,0.34046
0.856,1.0,0.8333,0.501347
0.12,0.8,0.8333,0.099365
0.184,0.8,0.8333,0.163963
0.8,0.6,1.0,0.441898
0.46,0.2,0.1667,0.223888
0.512,0.4,1.0,0.301071
0.328,0.6,0.8333,0.208644
0.816,0.2,0.8333,0.466707
0.152,0.4,0.5,0.125336
0.668,0.8,0.6667,0.397255
0.292,0.2,0.6667,0.196135
0.14,0.2,0.6667,0.089297
0.808,0.8,0.6667,0.440743
0.448,1.0,0.5,0.290711
0.836,1.0,0.6667,0.487816
0.464,0.4,0.6667,0.257066
0.596,0.8,0.1667,0.33411
0.928,0.8,0.3333,0.49276
0.244,1.0,0.8333,0.182211
0.66,1.0,0.8333,0.416838
0.696,0.4,0.6667,0.377449
0.768,1.0,0.1667,0.406591
0.68,1.0,1.0,0.385115
0.58,1.0,0.6667,0.3526
0.78,0.6,0.5,0.428924
0.332,0.2,0.8333,0.224913
0.696,0.2,0.3333,0.386992
0.18,0.8,0.5,0.15392
0.732,0.8,0.5,0.386276
0.228,1.0,0.8333,0.183006
0.84,0.4,0.5,0.434057
0.596,0.6,0.3333,0.334171
0.252,1.0,0.3333,0.175648
0.4,1.0,0.3333,0.220575
0.536,0.2,0.1667,0.283596
0.704,0.6,0.1667,0.397699
0.456,0.6,1.0,0.289783
0.512,0.6,0.6667,0.279446
0.852,0.2,0.3333,0.437092
0.316,0.6,0.5,0.194827
0.536,0.2,0.8333,0.317719
0.532,0.8,0.5,0.321333
0.716,0.6,1.0,0.439395
0.264,0.6,0.5,0.152574
0.164,0.8,0.8333,0.138453
0.636,0.6,0.1667,0.340507
0.272,0.8,0.1667,0.18014
0.196,0.4,0.1667,0.098057
0.912,0.6,1.0,0.492175
0.344,0.8,0.3333,0.191838
0.996,0.6,0.6667,0.521568
0.356,0.6,0.1667,0.222723
0.868,0.8,0.6667,0.472447
0.652,0.4,1.0,0.398184
0.56,1.0,0.5,0.338876
0.84,1.0,0.3333,0.435914
0.404,0.6,0.6667,0.241369
0.204,0.6,0.6667,0.126429
0.14,0.4,0.1667,0.067261
0.652,0.2,0.6667,0.360816
0.384,0.6,0.6667,0.248914
0.528,0.4,0.5,0.309675
0.284,0.4,0.5,0.194181
0.972,0.4,0.3333,0.49364
0.648,0.2,0.5,0.358407
0.236,0.2,0.6667,0.170776
0.728,0.6,0.5,0.405286
0.628,0.6,0.1667,0.361394
0.408,0.8,0.8333,0.272379
0.38,0.2,1.0,0.247868
0.82,0.8,1.0,0.490566
0.44,0.6,0.8333,0.26829
0.356,1.0,0.8333,0.230762
0.548,0.8,0.8333,0.348146
0.368,0.8,0.6667,0.227076
0.576,1.0,0.6667,0.34605
0.164,0.4,1.0,0.125987
0.968,0.6,0.6667,0.524496
0.996,0.4,1.0,0.550467
0.424,1.0,0.3333,0.2704
0.996,0.2,0.6667,0.508178
0.624,1.0,0.5,0.34655
0.64,0.8,0.3333,0.374144
0.984,0.2,0.1667,0.506381
0.524,1.0,0.8333,0.33427
0.548,0.6,0.8333,0.345568
0.776,0.4,0.3333,0.424762
0.776,0.2,0.3333,0.406004
0.912,1.0,0.6667,0.535
0.852,1.0,0.8333,0.474092
0.328,1.0,0.5,0.192649
0.552,0.8,1.0,0.330948
0.604,0.4,1.0,0.368346
0.58,0.8,0.1667,0.323657
0.388,1.0,0.3333,0.255952
0.796,0.2,0.1667,0.386396
0.356,0.2,0.5,0.219887
0.172,1.0,0.8333,0.169766
0.884,0.2,1.0,0.497744
0.632,0.8,1.0,0.369312
0.34,0.4,0.5,0.192708
0.304,0.2,0.6667,0.163744
0.312,1.0,0.8333,0.237424
0.676,0.8,0.8333,0.397587
0.4,0.4,0.8333,0.234441
0.32,0.8,0.6667,0.197596
0.18,0.2,0.5,0.118175
0.888,0.6,0.5,0.50403
0.596,0.8,0.3333,0.34906
0.316,0.6,1.0,0.233836
0.928,1.0,0.1667,0.515467
0.308,0.8,1.0,0.206694
0.888,1.0,0.8333,0.503424
0.452,0.8,0.8333,0.267516
0.648,1.0,0.6667,0.362108
0.524,0.2,0.6667,0.276824
0.624,0.6,0.6667,0.373711
0.256,0.8,1.0,0.20532
0.72,0.4,0.6667,0.416617
0.688,0.2,1.0,0.374782
0.744,0.8,1.0,0.450719
0.248,1.0,0.6667,0.194744
0.348,0.4,0.1667,0.198513
0.924,0.8,0.8333,0.543644
0.896,0.4,1.0,0.498511
0.5,0.8,0.3333,0.29722
0.856,0.8,1.0,0.470113
0.228,0.2,1.0,0.174614
0.32,0.2,0.1667,0.184281
0.268,0.4,0.1667,0.127373
0.66,0.4,0.1667,0.358669
0.208,0.2,1.0,0.158892
0.656,0.8,0.5,0.356781
0.216,0.8,0.1667,0.147047
0.168,0.8,0.8333,0.144931
0.552,0.6,0.1667,0.303943
0.324,0.8,0.3333,0.215551
0.528,0.4,0.3333,0.265329
0.892,0.4,0.3333,0.474774
0.456,0.8,0.8333,0.302594
0.7,0.8,0.5,0.410425
0.216,0.8,0.8333,0.169083
0.568,1.0,0.6667,0.336579
0.912,0.4,0.6667,0.480115
0.928,0.8,0.3333,0.488625
0.204,0.4,0.6667,0.122296
0.852,0.6,0.5,0.460126
0.356,0.2,0.6667,0.194548
0.748,0.4,0.1667,0.378236
0.38,0.8,0.1667,0.2331
0.948,0.6,0.5,0.523764
0.808,0.2,0.5,0.419071
0.788,0.2,0.1667,0.431349
0.6,0.8,0.6667,0.341417
0.64,0.2,0.8333,0.367608
0.28,1.0,0.5,0.180346
0.452,0.2,0.8333,0.263087
0.616,0.4,0.5,0.333236
0.516,0.4,1.0,0.303763
0.232,0.4,0.5,0.130803
0.84,0.6,0.3333,0.454991
0.824,0.2,1.0,0.465418
0.696,1.0,0.5,0.414256
0.272,0.6,0.5,0.1507
0.12,0.4,0.5,0.082987
